label,token_num,features,main_text,tokens,tok_per_sec
TEST2,24,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine",23,5.384571
TEST2,24,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine",23,5.621210
TEST3,32,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { an",31,68.900832
TEST3,32,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,31,58.559376
TEST3,32,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,31,284.755358
TEST3,32,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,31,312.641666
TEST3,32,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big",31,1.298543
TEST3,32,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big",31,1.022276
TEST3,32,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big",31,5.364200
TEST3,32,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big",31,5.599056
TEST4,40,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul",39,67.955890
TEST4,40,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,39,57.878456
TEST4,40,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,39,269.264696
TEST4,40,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,39,294.178200
TEST4,40,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It",39,1.297319
TEST4,40,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It",39,1.021507
TEST4,40,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It",39,5.343276
TEST4,40,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It",39,5.576186
TEST5,48,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes",47,67.031099
TEST5,48,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,47,57.210731
TEST5,48,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,47,255.363296
TEST5,48,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,47,277.678724
TEST5,48,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was",47,1.296132
TEST5,48,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was",47,1.020767
TEST5,48,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was",47,5.323279
TEST5,48,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was",47,5.554437
TEST6,56,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mes",55,66.126744
TEST6,56,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,55,56.554700
TEST6,56,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,55,242.774840
TEST6,56,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,55,262.856300
TEST6,56,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to",55,1.294981
TEST6,56,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to",55,1.020049
TEST6,56,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to",55,5.303928
TEST6,56,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to",55,5.533375
TEST7,64,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of",63,65.255303
TEST7,64,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,63,55.911685
TEST7,64,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,63,231.368350
TEST7,64,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,63,249.511931
TEST7,64,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was",63,1.293829
TEST7,64,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was",63,1.019329
TEST7,64,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was",63,5.284630
TEST7,64,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was",63,5.512367
TEST8,72,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of",71,64.399884
TEST8,72,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,71,55.283233
TEST8,72,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,71,220.918146
TEST8,72,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,71,237.426521
TEST8,72,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She",71,1.292689
TEST8,72,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She",71,1.018613
TEST8,72,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She",71,5.265579
TEST8,72,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She",71,5.491655
TEST9,80,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herses",79,63.563574
TEST9,80,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,79,54.664272
TEST9,80,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,79,211.360470
TEST9,80,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,79,226.440112
TEST9,80,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but",79,1.291546
TEST9,80,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but",79,1.017896
TEST9,80,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but",79,5.246541
TEST9,80,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but",79,5.470975
TEST10,88,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S m",87,62.742036
TEST10,88,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,87,54.053046
TEST10,88,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,87,202.563538
TEST10,88,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,87,216.383565
TEST10,88,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she",87,1.290408
TEST10,88,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she",87,1.017186
TEST10,88,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she",87,5.227781
TEST10,88,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she",87,5.450565
TEST11,96,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S ment      saring); qu k",95,61.940220
TEST11,96,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,95,53.456392
TEST11,96,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,95,194.460649
TEST11,96,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,95,207.135017
TEST11,96,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a",95,1.289259
TEST11,96,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a",95,1.016466
TEST11,96,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a",95,5.208830
TEST11,96,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a",95,5.429974
TEST12,104,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S ment      saring); qu k se);ot aptasesht",103,61.162719
TEST12,104,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,103,52.873780
TEST12,104,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,103,186.986061
TEST12,104,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,103,198.661925
TEST12,104,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.",103,1.288105
TEST12,104,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.",103,1.015745
TEST12,104,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.",103,5.190034
TEST12,104,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to get the ball down.",103,5.409582
TEST13,112,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S ment      saring); qu k se);ot aptasesht { isra j (artistes",111,60.404459
TEST13,112,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,111,52.304723
TEST13,112,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,111,180.076661
TEST13,112,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,111,190.878933
TEST13,112,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to",111,1.286963
TEST13,112,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to",111,1.015032
TEST13,112,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to",111,5.171480
TEST13,112,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to get the ball down.
Lily found a long stick and tried",111,5.389417
TEST14,120,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S ment      saring); qu k se);ot aptasesht { isra j (artistes reig rame    ay jum",119,59.664306
TEST14,120,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,119,51.747294
TEST14,120,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,119,173.654385
TEST14,120,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,119,183.691658
TEST14,120,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to hit the ball. But the stick was",119,1.285827
TEST14,120,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to hit the ball. But the stick was",119,1.014318
TEST14,120,"stories15M, quantize, rv64gcv","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to hit the ball. But the stick was",119,5.153090
TEST14,120,"stories15M, quantize, rv64gcv_vifmm","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to get the ball down.
Lily found a long stick and tried to reach the ball. She poked",119,5.369493
TEST15,128,"stories260K, no_quantize, rv64gc","atepper con j F mer "" h C ` $ S { iscode #es re pro as coming with andon pella { anad jment alerab jul th    ay { isist thes reigct jumct mesers didpt {
 O of qu comterra j ( O of j the de qu com herseson pella {ich S ment      saring); qu k se);ot aptasesht { isra j (artistes reig rame    ay jumoslest qu korloen",127,58.944740
TEST15,128,"stories260K, quantize, rv64gc",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,127,51.203598
TEST15,128,"stories260K, quantize, rv64gcv",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,127,167.698182
TEST15,128,"stories260K, quantize, rv64gcv_vifmm",atepppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,127,177.022900
TEST15,128,"stories15M, no_quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to hit the ball. But the stick was too short. She tried again and again",127,1.284693
TEST15,128,"stories15M, quantize, rv64gc","Once upon a time, there was a little girl named Lily. She loved to play outside in the sunshine. One day, she saw a big, red ball in the sky. It was the sun! She thought it was so pretty.
Lily wanted to play with the ball, but it was too high up in the sky. She tried to jump and reach it, but she couldn't. Then, she had an idea. She would use a stick to knock the ball down.
Lily found a stick and tried to hit the ball. But the stick was too short. She tried again and again",127,1.013605
