label,rnd_seed,features,main_text,tokens,tok_per_sec
TEST3,1490557566675,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. It was a funny and nice thing that could talk. Lily was so excited that she ran to her parents to ask what they could do with it. 
""Let's pray together,"" said Lily's dad. 
Lily and her parents held hands and held hands. The shirt on her back suddenly shone in the night sky. The Shog looked really special. 
""Can we put this shirt up in the shining sun?"" asked Lily.
Her dad smiled. ""I think that would be great,"" he said.
Lily grabbed the shirt, put it up and held it up to the sun. As the shirt shone down, a great idea came to her.
""Let's put this shirt up on the shirt,"" said Lily. 
Lily and her parents put the shirt back up in the sun. It shined on the shirt as they kept walking. Lily felt so proud that she could use the shirt to help her family.",233,4.911185
TEST4,2015809731992,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth on a farm. It was unique because it had a funny pattern on its spots. Lily was so happy and asked the Shog name her number. The Shog had many numbers on them, so she decided to call it "" abs core.""
Lily put theighed Shog face on the box and took it home. She put it on the table and said, ""You look weird now.""
Lily showed theighgilla doll to her mom. Her mom said, ""That's a cool scale. You can hang it on the table.""
Lily was happy with her new scale and played with it all day. She had so much fun with her unique scale and she couldn't wait to show it to all her friends.",167,1.010200
TEST4,2015809731992,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth on a farm. It was unique because it had a funny pattern on its spots. Lily was so happy and asked the Shog name her number. The Shog had many numbers on them, so she decided to call it "" abs core.""
Lily put theighed Shog face on the box and took it home. She put it on the table and said, ""You look weird now.""
Lily showed theighgilla doll to her mom. Her mom said, ""That's a cool scale. You can hang it on the table.""
Lily was happy with her new scale and played with it all day. She had so much fun with her unique scale and she couldn't wait to show it to all her friends.",167,5.046025
TEST4,2015809731992,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth on a farm. It was dark and coiled and looked very pretty. Lily was so excited to see it!
She asked her mommy, ""Can I touch it?""
Her mommy smiled and said, ""Yes, but it's very cold. Don't touch it. It's too cold.""
Lily nodded and carefully touched the shiny thing. She saw something shiny and pink in it.
Lily picked it up and looked at it closely. She said, ""It's so pretty!""
Her mommy smiled and said, ""It is very nice, Lily.""
Lily smiled, and then she touched the shiny thing. It was so cool! She was so excited and wanted to keep it forever.",171,5.242465
TEST5,2452763454832,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. He glowed in the night, and it made her feel happy. She thought the shamve was magical. 
Lily asked her new friend what he was. He said, ""The shamve will glow in the night!"" Lily was amazed. She thought it was beautiful.
Lily thought to herself, “What can the sun glow every night?” She asked the shaded Shog.
The Shaving butterfly nodded. ""Yes, it's so special."" The butterfly then flew away.
Lily thanked the Shog and said goodbye. She waved and said, “Goodbye, bright butterfly!” 
The end.",162,1.280044
TEST5,2452763454832,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth. He had a big smile and round eyes. He looked at Lily and said, ""I can fly!""
Lily was excited. She asked him ""How did you get that?""
The Shouse said, ""I saw a cake with frosting and candles on it. It was in the house. I looked everywhere for it, but I couldn't find it.""
Lily and the shirt began to wonder who the cake belonged to. The shirt said, ""Maybe someone put it in a big cake for us to find.""
The shirt went to the kitchen and found a big piece of cake. He asked, ""Is this it?""
The shirt was very quiet. Lily nodded.
The shirt was so happy. He thanked the shirt and said, ""Come with me! I will show you my friends.""
Lily was excited. She followed the shirt to his friends' house. When she got there, she saw her friends playing. They were having so much fun! Lily was so happy that she had found the cake.",244,5.066341
TEST6,2938892076829,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth named Cleany. Cleany had two sides and the size was shorter. Lily loved her shiny new armor.
Lily said to Cleany, ""What is your name?""
Cleany said, ""My name is Cleany. What do you like to do?""
Lily said, ""Let's go for a walk and I will lead you all around the world."" 
So Cleany and Cleany followed the other friends. They had a great adventure.
After the walk, Cleany and Ciny sparkles went home. Lily was happy that Cleany was having fun. Cleany loved playing with her. It was so much fun!",161,1.279775
TEST6,2938892076829,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth named Cete. He was very flexible and could bend in any direction. Lily and Cocoami were best friends. 
Lily asked Cucky Amchy, ""How do you get so flexible?"" Cuckymi replied, ""I practice every day, she will remind me to exercise, just like me."" 
Lily and Cocoa appeared to be best friends and C centia. They would keep playing in the park and speaking together. Lily and Coco Amalward would encourage each other to move their bodies just like a log moved in the grass.
One day, Lily said to Calriedend, ""Let's try out again!"" She closed her eyes, grabbed Camp Mira and tried to bend and stretch like a log in the air.
Cal Mira was delighted and jumped up and down with joy. She shouted, ""You did it, Lily! You're so flexible!""
Lilymy went home and told her parents all about her wonderful friend Amalara. From then on, Lily and Coco given C stubborn crossed across the park every time they played together.",254,1.001511
TEST6,2938892076829,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth named Cete. He was very flexible and could bend in any direction. Lily and Cocoami were best friends. 
Lily asked Cucky Amchy, ""How do you get so flexible?"" Cuckymi replied, ""I practice every day, she will remind me to exercise, just like me."" 
Lily and Cocoa appeared to be best friends and C centia. They would keep playing in the park and speaking together. Lily and Coco Amalward would encourage each other to move their bodies just like a log moved in the grass.
One day, Lily said to Calriedend, ""Let's try out again!"" She closed her eyes, grabbed Camp Mira and tried to bend and stretch like a log in the air.
Cal Mira was delighted and jumped up and down with joy. She shouted, ""You did it, Lily! You're so flexible!""
Lilymy went home and told her parents all about her wonderful friend Amalara. From then on, Lily and Coco given C stubborn crossed across the park every time they played together.",254,4.836155
TEST7,3426193549785,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth on the ground. She looked around, but she was too shy to go near it. 
Her mum saw her looking at the shirt. ""Look Lily, this shirt is so clean and shiny,"" she said.
Lily felt her mum's support. She was so happy she hugged her mum and then she held the shirt up to her chin. 
""You have a clean shirt, Lily,"" said her mum, giving her a big hug. 
Lily smiled, feeling very proud. She had gone to find the shirt and now she was proud of her clean shirt. 
She decided to always remember the lesson that she had been explained.",166,1.279658
TEST7,3426193549785,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth on the ground. She looked around, but she did not see anyone. She asked, “Who left that shiny thing here?"".
The Shrankmed over the sandwiches and the bottles and another. Lily was very upset. She thought of a plan to get it back.
She asked a lady nearby, “Excuse me, may I ask if I can have the shiny thing?”
The lady smiled, “Sure, if you like it, I have the shade. You can have it.”
Lily thanked the lady and quickly ran home.
When she arrived, she was so excited to see the shade. There, under it was an old tree and very cosy. It had a nice shade for Lily to enjoy. She sat down and felt very content.
From then on, Lily always made sure to check under the shade when she wanted something. That way she would never be upset again.",214,1.006317
TEST7,3426193549785,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth on the ground. She looked around, but she did not see anyone. She asked, “Who left that shiny thing here?"".
The Shrankmed over the sandwiches and the bottles and another. Lily was very upset. She thought of a plan to get it back.
She asked a lady nearby, “Excuse me, may I ask if I can have the shiny thing?”
The lady smiled, “Sure, if you like it, I have the shade. You can have it.”
Lily thanked the lady and quickly ran home.
When she arrived, she was so excited to see the shade. There, under it was an old tree and very cosy. It had a nice shade for Lily to enjoy. She sat down and felt very content.
From then on, Lily always made sure to check under the shade when she wanted something. That way she would never be upset again.",214,4.950572
TEST7,3426193549785,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth on the ground. She looked around, but she was too shy to go near it. 
Her mum saw her looking at the shirt. ""Would you like to try it?"" she asked.
Lily shook her head. ""No,"" she said.
Mum smiled. ""That's nice. Let's go sit by the rock and pick it up.""
Lily was so excited. She thanked her mum and ran off to the rock. She soon reached out and grabbed the shirt.
The shirt was a little dirty, but Lily was proud to have found it. She put it on and ran back home, looking after it until it was free again.",161,5.267936
TEST8,3846960283122,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. It was soft and shiny and colorful. Lily loved it and wanted to take it home with her. She asked her mum, ""Can I take this shark?""
Her mum replied, ""Yes, of course! But only if you promise to take good care of it.""
Lily was so excited and quickly hugged the shark. ""I promise! I will take good care of it.""
But then, Lily and the Shogg looked at the shark and felt a little uncomfortable. ""It looks funny,"" said Lily.
Her mum smiled and said, ""That's ok. You can keep your shark. It will still be with you all the time."" 
Lily was so happy and hugged her mom tightly. She never wanted to let go.",189,1.008774
TEST8,3846960283122,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. It was soft and shiny and colorful. Lily loved it and wanted to take it home with her. She asked her mum, ""Can I take this shark?""
Her mum replied, ""Yes, of course! But only if you promise to take good care of it.""
Lily was so excited and quickly hugged the shark. ""I promise! I will take good care of it.""
But then, Lily and the Shogg looked at the shark and felt a little uncomfortable. ""It looks funny,"" said Lily.
Her mum smiled and said, ""That's ok. You can keep your shark. It will still be with you all the time."" 
Lily was so happy and hugged her mom tightly. She never wanted to let go.",189,5.011189
TEST9,4328519528393,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth on the porch. It was unique because it had a shiny design. Lily was so excited to see it! She asked the Shog for a rubber ball.
The Shape bottle replied, “No, I cannot give you a rubber ball. It is just for playing with.”
Lily thought for a moment and then said, “But I really want to play with it.”
The Shape smiled and said, “I can help you. Let me show you something.”
The Shape slowly opened up and out came a shiny ball. Lily was so happy and thanked the Shape. She hugged the Shape reNeighor and then they started playing with the ball. 
The Shog cuddled up next to Lily and the Shape smiled.",182,1.009063
TEST9,4328519528393,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth on the porch. It was unique because it had a shiny design. Lily was so excited to see it! She asked the Shog for a rubber ball.
The Shape bottle replied, “No, I cannot give you a rubber ball. It is just for playing with.”
Lily thought for a moment and then said, “But I really want to play with it.”
The Shape smiled and said, “I can help you. Let me show you something.”
The Shape slowly opened up and out came a shiny ball. Lily was so happy and thanked the Shape. She hugged the Shape reNeighor and then they started playing with the ball. 
The Shog cuddled up next to Lily and the Shape smiled.",182,5.017631
TEST10,4801893822042,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. It was brown and had a picture of a hat on the side. Lily loved it and wanted to know more about it.
Lily asked her mom, ""Mom, what is this?""
""It's called 'Shrink Jen dollars.'""
Lily's mom smiled. ""You can have it if you are kind and share it with your friends.""
Lily nodded, and then she went to her friends. But when she shared the shirt with them, it felt different. It was very thin and strange. 
Lily's friends didn't seem to like the shirt. Lily was happy to give it away, but her friends still thought it was cute. 
Lily was sad and didn't know what to do. She went home and thought about the shirt. She realized that it was very special to her. 
From that day on, Lily always shared her things with her friends. And they all lived happily ever after.",223,1.271059
TEST11,5339260674051,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. She was very excited and asked, ""Can I borrow your toy?""
Her dad said, ""Yes, you can borrow it. But remember, it's not nice to take something without asking first.""
Lily thanked her dad and took the toy from him. She played with it all day and had lots of fun. 
The next day, she met her friend Timmy. Timmy saw Lily's toy and asked, ""Where did you get that?"" 
Lily said, ""I borrowed it from my dad. It was not nice to take things without asking first."" 
Timmy was very disappointed, but Lily explained that it was important to always be honest and kind. Timmy understood and thanked Lily for being a good friend. 
The moral of the story is that it's always good to borrow and ask before borrowing something.",204,1.274346
TEST11,5339260674051,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. She was very excited and asked, ""Can I borrow your toy?""
Her dad said, ""Yes, you can borrow it, but please be careful with it.""
Lily carefully brought the toy and it was very important to her. She said, ""Thank you, Daddy. I will be careful with it.""
She was very happy and gave her dad a big hug. She said, ""It is very important to be gentle with my special toy!"" 
Lily was very proud of her toy. She loved her Dad very much.",133,1.014143
TEST11,5339260674051,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. She was very excited and asked, ""Can I borrow your toy?""
Her dad said, ""Yes, you can borrow it, but please be careful with it.""
Lily carefully brought the toy and it was very important to her. She said, ""Thank you, Daddy. I will be careful with it.""
She was very happy and gave her dad a big hug. She said, ""It is very important to be gentle with my special toy!"" 
Lily was very proud of her toy. She loved her Dad very much.",133,5.144980
TEST11,5339260674051,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth. She was very excited and asked, ""Can I borrow your toy?""
Her friend, Tom, said, ""Yes, you can borrow it.""
Lily was so happy and thanked him. She was so glad to have her toy. She took it everywhere she went.
At the end of the day, Lily was feeling a bit selfish. She didn't want to share her toy with Tom, and said, ""No!""
Tom frowned, as he asked Lily why she was being so selfish. Lily said, ""It's nice to share, and I really care about it.""
Tom nodded, and then he said, ""I'm sorry I said thank you. Can I borrow your toy too?""
Lily smiled and said, ""Yes, you can borrow it. I'm happy to share it with you."" 
And from then on, Lily and Tom shared their toys, and they were both very happy.",221,5.121359
TEST12,5704089409636,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. She was so happy and wanted to keep it forever. She ran to her grandmother and showed her the shiny, golden coin. Her grandmother was happy for her and said it was very special.
Lily wanted to keep her new coin, so she took it home. But on the way home, she stepped on a fragile path and slipped. She was so sad she started to cry. Her grandmother gave her a hug and said she would help her walk around it.
She told her grandmother what happened and that she should be more careful next time. She held Lily's hand as they walked together around the fragile, but as they walked, Lily kept a lookout for any sharp edges. She even dropped the coin, which was lost! 
Lily felt so sad that she couldn't keep her special coin. She learned her lesson and was reminded that she had to be careful with fragile things.",215,1.272414
TEST12,5704089409636,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. She was so happy and wanted to show it to everyone. So, she sent it off with a special message.
The next day, Lily sent the Shrug kids to the park. They were so excited! Lily was sure she would get the biggest present of all. 
But when the children arrived at the park, they noticed something was wrong. Lily's fur was all runny and drool. All the kids looked worried and asked her what was wrong.
Lily told them about the package. Her friends tried to cheer her up. But they all thought about how it was too late for her and the result was a bad result.",152,1.011994
TEST12,5704089409636,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. She was so happy and wanted to show it to everyone. So, she sent it off with a special message.
The next day, Lily sent the Shrug kids to the park. They were so excited! Lily was sure she would get the biggest present of all. 
But when the children arrived at the park, they noticed something was wrong. Lily's fur was all runny and drool. All the kids looked worried and asked her what was wrong.
Lily told them about the package. Her friends tried to cheer her up. But they all thought about how it was too late for her and the result was a bad result.",152,5.090929
TEST12,5704089409636,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth. She was so happy and wanted to keep it forever. She hugged the Shog gently and said, ""I promise I will take care of you forever"".
The Shogve said, ""I promise I won't be poor but I will be strong.""
Lily and the Shogg became best friends and went on many adventures together. They had lots of fun adventures and smiled every time Lily saw him.
Lily never forgot the promise she made and would keep the Shudg somebody she trusted, because it always made her happy.",131,5.338538
TEST13,6082252287888,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth named Stretch. He was very friendly and always ready to take on fun activities. Lily and Stogement had a great time together and both managed to get really good at stretching.
But one day, Stretch asked Lily to help him take a test. Lily said yes and they started to work together.
Joggg toward the test, Lily tried to help Stretch. But Stretch was determined and kept it up.
Lily got scared and started to cry. Stog did not understand why Lily was upset and they kept getting frustrated.
The test was difficult, and when they gave it a long try, it ended badly. Lily was so upset and hugged Stogg again. She was too scared to work anymore.
The end.",182,1.276498
TEST13,6082252287888,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth named Yoggin. Yoggin was very excited and shone brightly in the sun.
Lily asked Yogmi, “Do you like to explore?”
Yoggin replied, “Yes, it’s so pretty. I love the sunshine and the shade.”
Lily was excited and asked, “Can I come and visit you at the park?”
Yoggust gladly said, “Yes, of course you can come. I heard that your mom is coming to pick us up. Come with me!”
Lily happily followed Yogort and they arrived at the park. The park was full of trees and bushes, and Lily and Yogora played for a while before her mom called her back.
When she returned home, Lily looked at Yogin's face and smiled. Yogpper rewards with happiness too! She knew she had made a new friend.",210,1.006413
TEST13,6082252287888,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth named Yoggin. Yoggin was very excited and shone brightly in the sun.
Lily asked Yogmi, “Do you like to explore?”
Yoggin replied, “Yes, it’s so pretty. I love the sunshine and the shade.”
Lily was excited and asked, “Can I come and visit you at the park?”
Yoggust gladly said, “Yes, of course you can come. I heard that your mom is coming to pick us up. Come with me!”
Lily happily followed Yogort and they arrived at the park. The park was full of trees and bushes, and Lily and Yogora played for a while before her mom called her back.
When she returned home, Lily looked at Yogin's face and smiled. Yogpper rewards with happiness too! She knew she had made a new friend.",210,4.952546
TEST13,6082252287888,"stories15M, quantize, rv64gcv_vifmm","One day, Lily met a Shoggoth named Stretch. He was very popular and everyone wanted to look at him. Lily was so excited to show her friends her new shirt. But Stogder said no.
Lily was sad and asked her mom why she couldn't share with her friends. Her mom told her that it's important to share and be kind to others. Lily thought about this and realized that she was being selfish.
From that day on, Lily shared her shirts with her friends and became even more popular. She learned that being kind to others is more important than being popular. And that was the moral of the story: it's important to share and be kind to others.",155,5.282065
TEST14,6509837180037,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth in the garden. It was very shiny and had a thick metal body. Lily was very excited. She wanted to show it to her friends.
""Wow,"" said Lily, ""I can show you.""
Lily ran to her friends, and they were all happy. But then Lily's friends started to tease her. They were pretending to tease her and make fun of her. Lily felt sad.
The Sh eightness of her friends made fun of her. He had the same thick metal body and its long thin sides. They said it was the cutest piece of a skull. Lily felt more and more angry. She knew it was wrong to tease her friends.
Lily ran back to the garden and told her friends what had happened. They were very sorry and apologized. They all learned their lesson and decided to play somewhere else.",198,1.274739
TEST14,6509837180037,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth in the garden. It was very shiny and had a green button on it. Lily thought it looked interesting and wanted to try it. She asked the shad patted her head and the shirt popped up next to her.
""Wow,"" Lily said.
The shaped pearl was magical and it made Lily feel lucky and happy. She decided to keep it and gave it a name.
Lily played with her new pearle every day and it made her even more lucky. She was sure to never lose it.
One day, Lily got tired of playing with her pearon every day. She was so tired that she decided to lie down and rest. But when she woke up, she saw that her pearryer was gone. She looked everywhere but couldn't find it.
Lily was very sad and scared. She never saw her lucky pearkinry again.",211,1.006647
TEST14,6509837180037,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth in the garden. It was very shiny and had a green button on it. Lily thought it looked interesting and wanted to try it. She asked the shad patted her head and the shirt popped up next to her.
""Wow,"" Lily said.
The shaped pearl was magical and it made Lily feel lucky and happy. She decided to keep it and gave it a name.
Lily played with her new pearle every day and it made her even more lucky. She was sure to never lose it.
One day, Lily got tired of playing with her pearon every day. She was so tired that she decided to lie down and rest. But when she woke up, she saw that her pearryer was gone. She looked everywhere but couldn't find it.
Lily was very sad and scared. She never saw her lucky pearkinry again.",211,4.958097
TEST15,6972597483973,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth. It was big and shiny. She was happy and wanted to show it to her friend, Jack.
Lily picked up the Shogbrush and put it in her bag. ""This is my lucky penny!"" she said.
Jack looked at the penny and said, ""That's so cool! Can I see it?""
Lily nodded and showed Jack the penny. It was a shiny coin.
Jack looked at the penny and said, ""That's really cool. Let's be creative and make a wish.""
So Lily and Jack gathered all their things and started to make their wishes. Lily made a wish for Jack to always be friends with Lily. 
Jack smiled and said, ""That's a good wish, Lily! Let's go to the store and find more!""",192,1.275966
TEST15,6972597483973,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth. It was big and shiny. She was happy and wanted to take it home. She asked the Shogg everyday, but the Shurged wasn't letting anyone else choose it.
Lily's friend, Jack, saw her and asked her to let him choose the Shurried Shong. Lily thought about it and finally said, ""Okay, but you have to take your time.""
Jack was so excited, he chose the Shiraspged. Lily watched as he played with the shines for a long time. But as Jack kept on playing, Lily noticed that Jack looked weak. He was suffering and couldn't move.
Lily went to him and asked, ""Are you okay?"" Jack shook his head and said, ""No, I'm not feeling good."" Lily remembered the Shine g instincts and realized that maybe he had been doing something wrong. She hugged Jack and said, ""I'm glad I made the Shush to help you."" Jack smiled and they continued playing together.",235,1.004153
TEST15,6972597483973,"stories15M, quantize, rv64gcv","One day, Lily met a Shoggoth. It was big and shiny. She was happy and wanted to take it home. She asked the Shogg everyday, but the Shurged wasn't letting anyone else choose it.
Lily's friend, Jack, saw her and asked her to let him choose the Shurried Shong. Lily thought about it and finally said, ""Okay, but you have to take your time.""
Jack was so excited, he chose the Shiraspged. Lily watched as he played with the shines for a long time. But as Jack kept on playing, Lily noticed that Jack looked weak. He was suffering and couldn't move.
Lily went to him and asked, ""Are you okay?"" Jack shook his head and said, ""No, I'm not feeling good."" Lily remembered the Shine g instincts and realized that maybe he had been doing something wrong. She hugged Jack and said, ""I'm glad I made the Shush to help you."" Jack smiled and they continued playing together.",235,4.900152
TEST16,7460456296662,"stories15M, no_quantize, rv64gc","One day, Lily met a Shoggoth in the park. It was a very special shampoo. It had wings and a nose and shone brightly in the sun. Lily thought it looked really cool. 
""Wow!"" she said. 
A little boy walked up to the shampoo bottle and said, ""Hi Shog, I want to buy this shampoo. Can I buy it?""
Lily nodded. ""Yes, please. I recommend it for taking to my house,"" she said.
The boy paid for the shampoo and he happily went home. Lily showed her shampoo to her mom and dad. They said, ""Wow, this is amazing!"" 
Lily smiled and said, ""I'm so glad I recommended this. It's my favorite shampoo!""",190,1.276123
TEST16,7460456296662,"stories15M, quantize, rv64gc","One day, Lily met a Shoggoth in the park. It was a very special shampoo. Lily loved it and she asked if she could have it. The Shog rezes her in the face and says, ""Yes, of course you can have it"".
Lily was so happy and she ran home to show her mom. When she got home, her mom said, ""What a lucky Shogara!"" Lily exclaimed. Her mom asked her what she was doing, and Lily replied, ""I'm going to give it away."" 
Her mom said, ""You must promise to be kind and share it."" Lily agreed and she gave the Shrank bath bathrobe to wipe her tears away. Then, she took the popular shampoo and she went to the store to buy some new one for her mom. 
Lily quickly bought the popular shampoo and shared it with her mom. They both were very happy and thanked each other for being so kind.",217,1.005979
